dirname,total_count,diff_count,file_size
alt.atheism,1727,1087,12425
alt.atheism,5249,1721,32531
alt.atheism,738,409,4550
alt.atheism,277,205,2067
alt.atheism,133,122,1347
alt.atheism,885,447,5456
alt.atheism,102,93,1112
alt.atheism,269,182,1926
alt.atheism,468,283,3133
alt.atheism,75,72,997
alt.atheism,129,111,1311
alt.atheism,111,96,1239
alt.atheism,143,121,1487
alt.atheism,229,166,1875
alt.atheism,417,261,2771
alt.atheism,449,293,3110
alt.atheism,269,178,2055
alt.atheism,181,145,1458
alt.atheism,235,183,1886
alt.atheism,350,240,2524
alt.atheism,575,366,3778
alt.atheism,417,254,2768
alt.atheism,217,170,1682
alt.atheism,66,61,729
alt.atheism,165,134,1408
alt.atheism,1624,676,9715
alt.atheism,111,104,1249
alt.atheism,197,158,1621
alt.atheism,111,97,977
alt.atheism,106,90,1052
alt.atheism,179,137,1421
alt.atheism,296,198,2342
alt.atheism,74,69,877
alt.atheism,111,103,1152
alt.atheism,762,451,6218
alt.atheism,222,157,1708
alt.atheism,853,427,5554
alt.atheism,216,163,1607
alt.atheism,268,180,1880
alt.atheism,872,471,5556
alt.atheism,320,200,2140
alt.atheism,103,88,896
alt.atheism,231,170,1739
alt.atheism,156,125,1352
alt.atheism,197,143,1822
alt.atheism,496,297,3381
alt.atheism,183,143,1595
alt.atheism,417,266,2780
alt.atheism,873,436,5324
alt.atheism,156,136,1450
alt.atheism,189,145,1524
alt.atheism,146,111,1266
alt.atheism,224,178,1694
alt.atheism,123,97,1114
alt.atheism,134,122,1125
alt.atheism,523,320,3397
alt.atheism,316,220,2269
alt.atheism,85,80,973
alt.atheism,408,244,2694
alt.atheism,493,310,3314
alt.atheism,206,139,1625
alt.atheism,117,97,1190
alt.atheism,179,135,1603
alt.atheism,127,106,1313
alt.atheism,174,136,1570
alt.atheism,381,253,2570
alt.atheism,296,187,2267
alt.atheism,160,128,1430
alt.atheism,212,144,1745
alt.atheism,172,132,1336
alt.atheism,294,205,2304
alt.atheism,210,158,1646
alt.atheism,137,94,1213
alt.atheism,143,116,1374
alt.atheism,123,97,1255
alt.atheism,280,180,2041
alt.atheism,334,229,2293
alt.atheism,243,175,1907
alt.atheism,137,121,1474
alt.atheism,406,255,3070
alt.atheism,120,105,1149
alt.atheism,268,173,1926
alt.atheism,161,133,1365
alt.atheism,329,230,2323
alt.atheism,171,121,1258
alt.atheism,303,218,2444
alt.atheism,242,155,1910
alt.atheism,139,119,1188
alt.atheism,247,181,1960
alt.atheism,154,118,1377
alt.atheism,150,134,1573
alt.atheism,1042,558,6730
alt.atheism,278,198,2090
alt.atheism,302,215,2087
alt.atheism,1766,846,10701
alt.atheism,430,293,3004
alt.atheism,291,197,2073
alt.atheism,105,98,1157
alt.atheism,168,123,1311
alt.atheism,110,95,1080
alt.atheism,449,290,3210
alt.atheism,284,202,2260
alt.atheism,152,124,1278
alt.atheism,415,259,2703
alt.atheism,153,111,1402
alt.atheism,264,165,2150
alt.atheism,162,116,1495
alt.atheism,362,267,2597
alt.atheism,272,189,1933
alt.atheism,603,361,3895
alt.atheism,113,97,1088
alt.atheism,142,114,1312
alt.atheism,130,116,1089
alt.atheism,153,124,1331
alt.atheism,519,298,3221
alt.atheism,143,114,1260
alt.atheism,182,144,1406
alt.atheism,277,190,1938
alt.atheism,420,243,2947
alt.atheism,215,168,1802
alt.atheism,89,78,978
alt.atheism,1965,845,12035
alt.atheism,235,143,1691
alt.atheism,121,109,1139
alt.atheism,171,126,1344
alt.atheism,219,166,1606
alt.atheism,382,250,2537
alt.atheism,91,85,944
alt.atheism,241,179,1761
alt.atheism,305,228,2206
alt.atheism,309,200,2144
alt.atheism,98,85,929
alt.atheism,295,201,1976
alt.atheism,505,322,3325
alt.atheism,101,85,1421
alt.atheism,277,206,2310
alt.atheism,587,305,3664
alt.atheism,484,300,3392
alt.atheism,127,108,1242
alt.atheism,386,242,2807
alt.atheism,243,195,1948
alt.atheism,194,169,1745
alt.atheism,285,216,2260
alt.atheism,1087,541,6837
alt.atheism,289,192,2064
alt.atheism,222,180,1718
alt.atheism,207,162,1779
